,State,City,Population,Violent crime,Property crime,Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants",Assault Risk (County),Total Crime Risk (County),Student Teacher Ratio,Percent of High School Graduate or Higher,year
153,Arizona,Scottsdale,233872,197,2904,0,84.23,0.01,1241.7,91.0,127.0,21.0,96.4,2017
154,Nevada,North Las Vegas,234386,1122,2543,0,478.7,0.01,1084.96,113.0,115.0,24.5,80.1,2017
155,Virginia,Chesapeake,"235,273",416,"2,979",0,176.82,0.01,1266.19,53.0,75.0,20.5,92.0,2017
156,Texas,Irving,"236,465",258,"3,191",0,109.11,0.01,1349.46,154.0,181.0,14.0,79.9,2017
157,Texas,Garland,"237,593",367,"3,681",0,154.47,0.02,1549.29,154.0,181.0,9.5,76.7,2017
158,Florida,Hialeah,238132,336,2812,0,141.1,0.01,1180.86,193.0,165.0,23.0,70.6,2017
159,Nevada,Reno,239721,809,3820,0,337.48,0.02,1593.52,76.0,71.0,16.0,87.0,2017
160,Virginia,Norfolk,"245,400",766,"4,438",0,312.14,0.02,1808.48,177.0,263.0,18.5,87.5,2017
161,Texas,Lubbock,"247,271","1,306","5,918",0.01,528.17,0.02,2393.33,174.0,131.0,16.5,85.9,2017
162,Wisconsin,Madison,"248,833",395,"3,187",0,158.74,0.01,1280.78,45.0,63.0,13.0,95.4,2017
163,Florida,St. Petersburg,255821,854,5642,0,333.83,0.02,2205.45,194.0,110.0,16.0,90.5,2017
164,Texas,Laredo,"256,280",493,"4,126",0,192.37,0.02,1609.96,117.0,98.0,11.666666666666666,67.8,2017
165,New York,Buffalo,258096,1358,4803,0.01,526.16,0.02,1860.94,63.0,56.0,11.6,83.9,2017
166,California,Irvine,258198,74,1977,0,28.66,0.01,765.69,49.0,55.0,24.0,96.0,2017
167,Arizona,Chandler,258875,272,2987,0,105.07,0.01,1153.84,91.0,127.0,19.5,92.4,2017
168,Indiana,Fort Wayne,259712,450,3976,0,173.27,0.02,1530.93,26.0,99.0,19.666666666666668,88.6,2017
169,New Jersey,Jersey City,265159,598,1986,0,225.53,0.01,748.98,108.0,108.0,12.0,86.5,2017
170,California,Chula Vista,265215,362,2377,0,136.49,0.01,896.25,90.0,79.0,7.0,80.4,2017
171,Florida,Orlando,268438,1194,7600,0,444.8,0.03,2831.19,256.0,164.0,18.0,90.1,2017
172,Nebraska,Lincoln,276585,473,4104,0,171.01,0.01,1483.81,96.0,135.0,17.25,92.9,2017
173,North Carolina,Greensboro,285950,898,4770,0,314.04,0.02,1668.12,113.0,140.0,12.75,89.9,2017
174,Ohio,Cincinnati,298478,1268,7064,0,424.82,0.02,2366.67,50.0,114.0,21.333333333333332,86.8,2017
175,Minnesota,St. Paul,300721,1000,4360,0,332.53,0.01,1449.85,111.0,139.0,14.0,86.4,2017
176,California,Stockton,304890,2158,5912,0.01,707.8,0.02,1939.06,85.0,95.0,20.5,75.2,2017
177,Pennsylvania,Pittsburgh,"306,870","1,115","4,487",0,363.35,0.01,1462.18,91.0,91.0,11.666666666666666,92.1,2017
178,Missouri,St. Louis,317095,2781,8522,0.01,877.02,0.03,2687.52,571.0,475.0,11.0,85.7,2017
179,California,Riverside,323064,832,5443,0,257.53,0.02,1684.81,123.0,86.0,26.0,79.4,2017
180,Texas,Corpus Christi,"324,326","1,090","5,703",0,336.08,0.02,1758.42,193.0,178.0,13.5,82.7,2017
181,California,Santa Ana,337304,868,3428,0,257.33,0.01,1016.29,49.0,55.0,21.5,56.4,2017
182,California,Anaheim,349471,620,5151,0,177.41,0.01,1473.94,49.0,55.0,24.0,76.6,2017
183,Colorado,Aurora,360237,904,5477,0,250.95,0.02,1520.39,51.714285714285715,56.57142857142857,21.0,87.0,2017
184,Florida,Tampa,364383,984,4031,0,270.05,0.01,1106.25,255.0,173.0,13.5,87.1,2017
185,California,Bakersfield,373887,925,8264,0,247.4,0.02,2210.29,96.0,87.0,15.5,80.0,2017
186,Louisiana,New Orleans,393447,2041,7586,0.01,518.75,0.02,1928.09,289.0,368.0,14.333333333333334,85.9,2017
187,Oklahoma,Tulsa,"401,520","2,064","11,532",0.01,514.05,0.03,2872.09,222.0,166.0,17.666666666666668,87.0,2017
188,Minnesota,Minneapolis,413479,2111,7607,0.01,510.55,0.02,1839.75,112.0,163.0,11.2,89.3,2017
189,California,Oakland,419481,2952,11450,0.01,703.73,0.03,2729.56,85.0,93.0,21.0,80.7,2017
190,Florida,Miami,437969,1953,9473,0,445.92,0.02,2162.94,193.0,165.0,20.333333333333332,75.6,2017
191,Nebraska,Omaha,452252,1141,8166,0,252.29,0.02,1805.63,154.0,182.0,14.0,88.4,2017
192,Colorado,Colorado Springs,452410,1135,7574,0,250.88,0.02,1674.15,54.0,76.0,9.0,93.2,2017
193,Virginia,Virginia Beach,"452,797",344,"4,798",0,75.97,0.01,1059.64,27.0,71.0,19.0,93.4,2017
194,Georgia,Atlanta,464710,2531,11522,0.01,544.64,0.02,2479.4,308.0,295.0,10.0,89.9,2017
195,Missouri,Kansas City,473373,3668,9204,0.01,774.86,0.02,1944.34,219.0,207.0,15.666666666666666,89.1,2017
196,California,Long Beach,476318,1405,6900,0,294.97,0.01,1448.61,161.0,125.0,20.0,79.8,2017
197,California,Sacramento,489717,1733,7875,0,353.88,0.02,1608.07,89.0,110.0,16.333333333333332,84.4,2017
